Episode 140/2000 => steps=578, reward=12468.890, coverage=90/100 (90.0%)
Episode 141/2000 => steps=664, reward=11740.790, coverage=77/100 (77.0%)
Episode 142/2000 => steps=686, reward=13959.210, coverage=68/100 (68.0%)
Episode 143/2000 => steps=1000, reward=20224.360, coverage=73/100 (73.0%)
Episode 144/2000 => steps=675, reward=13787.140, coverage=73/100 (73.0%)
Episode 145/2000 => steps=550, reward=10988.580, coverage=82/100 (82.0%)
Episode 146/2000 => steps=697, reward=14195.500, coverage=70/100 (70.0%)
Episode 147/2000 => steps=572, reward=10886.510, coverage=75/100 (75.0%)
Episode 148/2000 => steps=969, reward=21665.090, coverage=79/100 (79.0%)
Episode 149/2000 => steps=776, reward=16857.730, coverage=70/100 (70.0%)
Episode 150/2000 => steps=749, reward=15773.370, coverage=87/100 (87.0%)
Episode 151/2000 => steps=529, reward=10490.810, coverage=75/100 (75.0%)
Episode 152/2000 => steps=631, reward=12247.830, coverage=74/100 (74.0%)
Episode 153/2000 => steps=592, reward=11574.150, coverage=75/100 (75.0%)
Episode 154/2000 => steps=753, reward=14259.340, coverage=81/100 (81.0%)
Episode 155/2000 => steps=1000, reward=22223.370, coverage=85/100 (85.0%)
Episode 156/2000 => steps=1000, reward=19770.290, coverage=75/100 (75.0%)
Episode 157/2000 => steps=881, reward=15773.000, coverage=72/100 (72.0%)
Episode 158/2000 => steps=1000, reward=20805.010, coverage=75/100 (75.0%)
Episode 159/2000 => steps=719, reward=13994.450, coverage=68/100 (68.0%)
Episode 160/2000 => steps=685, reward=15002.850, coverage=77/100 (77.0%)
Episode 161/2000 => steps=663, reward=13637.550, coverage=92/100 (92.0%)
Episode 162/2000 => steps=538, reward=10171.410, coverage=69/100 (69.0%)
Episode 163/2000 => steps=756, reward=15230.010, coverage=71/100 (71.0%)
Episode 164/2000 => steps=709, reward=13407.230, coverage=68/100 (68.0%)
Episode 165/2000 => steps=686, reward=11333.500, coverage=66/100 (66.0%)
Episode 166/2000 => steps=671, reward=11679.510, coverage=73/100 (73.0%)
Episode 167/2000 => steps=980, reward=16813.900, coverage=76/100 (76.0%)
Episode 168/2000 => steps=533, reward=10591.630, coverage=70/100 (70.0%)
Episode 169/2000 => steps=1000, reward=19773.970, coverage=76/100 (76.0%)
Episode 170/2000 => steps=746, reward=14058.660, coverage=69/100 (69.0%)
Episode 171/2000 => steps=820, reward=13851.380, coverage=72/100 (72.0%)
Episode 172/2000 => steps=608, reward=12284.040, coverage=67/100 (67.0%)
Episode 173/2000 => steps=533, reward=10312.150, coverage=75/100 (75.0%)
Episode 174/2000 => steps=613, reward=12636.520, coverage=73/100 (73.0%)
Episode 175/2000 => steps=1000, reward=18378.740, coverage=71/100 (71.0%)
Episode 176/2000 => steps=705, reward=12809.020, coverage=71/100 (71.0%)
Episode 177/2000 => steps=761, reward=14699.640, coverage=71/100 (71.0%)
Episode 178/2000 => steps=658, reward=12819.750, coverage=68/100 (68.0%)
Episode 179/2000 => steps=860, reward=15978.960, coverage=68/100 (68.0%)
Episode 180/2000 => steps=654, reward=11673.660, coverage=72/100 (72.0%)
Episode 181/2000 => steps=673, reward=13963.400, coverage=76/100 (76.0%)
Episode 182/2000 => steps=702, reward=12937.360, coverage=59/100 (59.0%)
Episode 183/2000 => steps=953, reward=19016.720, coverage=78/100 (78.0%)
Episode 184/2000 => steps=554, reward=12096.160, coverage=78/100 (78.0%)
Episode 185/2000 => steps=735, reward=15018.550, coverage=77/100 (77.0%)
Episode 186/2000 => steps=711, reward=14550.080, coverage=85/100 (85.0%)
Episode 187/2000 => steps=1000, reward=17742.010, coverage=75/100 (75.0%)
Episode 188/2000 => steps=1000, reward=20823.490, coverage=76/100 (76.0%)
Episode 189/2000 => steps=659, reward=12946.870, coverage=73/100 (73.0%)
Episode 190/2000 => steps=550, reward=11959.210, coverage=69/100 (69.0%)
Episode 191/2000 => steps=964, reward=21250.140, coverage=88/100 (88.0%)
Episode 192/2000 => steps=648, reward=12651.420, coverage=78/100 (78.0%)
Episode 193/2000 => steps=869, reward=15795.330, coverage=80/100 (80.0%)
Episode 194/2000 => steps=1000, reward=17286.050, coverage=73/100 (73.0%)
Episode 195/2000 => steps=748, reward=15567.450, coverage=73/100 (73.0%)
Episode 196/2000 => steps=525, reward=9524.440, coverage=77/100 (77.0%)
Episode 197/2000 => steps=812, reward=16137.760, coverage=82/100 (82.0%)
Episode 198/2000 => steps=970, reward=21560.780, coverage=80/100 (80.0%)
Episode 199/2000 => steps=1000, reward=20081.130, coverage=70/100 (70.0%)
Episode 200/2000 => steps=615, reward=12606.000, coverage=68/100 (68.0%)
Episode 201/2000 => steps=848, reward=17161.400, coverage=85/100 (85.0%)
Episode 202/2000 => steps=937, reward=16948.430, coverage=87/100 (87.0%)
Episode 203/2000 => steps=1000, reward=19884.360, coverage=77/100 (77.0%)
Episode 204/2000 => steps=1000, reward=20590.960, coverage=88/100 (88.0%)
Episode 205/2000 => steps=635, reward=11793.870, coverage=70/100 (70.0%)
Episode 206/2000 => steps=1000, reward=17002.370, coverage=73/100 (73.0%)
Episode 207/2000 => steps=641, reward=14694.740, coverage=88/100 (88.0%)
Episode 208/2000 => steps=660, reward=13778.480, coverage=75/100 (75.0%)
Episode 209/2000 => steps=653, reward=13668.430, coverage=79/100 (79.0%)
Episode 210/2000 => steps=705, reward=14759.150, coverage=75/100 (75.0%)
Episode 211/2000 => steps=603, reward=10285.940, coverage=78/100 (78.0%)
Episode 212/2000 => steps=876, reward=16768.870, coverage=75/100 (75.0%)
Episode 213/2000 => steps=839, reward=16269.150, coverage=73/100 (73.0%)
Episode 214/2000 => steps=857, reward=15095.000, coverage=84/100 (84.0%)
Episode 215/2000 => steps=815, reward=14909.480, coverage=80/100 (80.0%)
Episode 216/2000 => steps=581, reward=11419.670, coverage=69/100 (69.0%)
Episode 217/2000 => steps=1000, reward=20317.550, coverage=77/100 (77.0%)
Episode 218/2000 => steps=1000, reward=22495.070, coverage=82/100 (82.0%)
Episode 219/2000 => steps=681, reward=15289.580, coverage=81/100 (81.0%)
Episode 220/2000 => steps=1000, reward=17762.970, coverage=78/100 (78.0%)
Episode 221/2000 => steps=543, reward=12758.390, coverage=71/100 (71.0%)
Episode 222/2000 => steps=1000, reward=18421.150, coverage=78/100 (78.0%)
Episode 223/2000 => steps=1000, reward=21355.610, coverage=75/100 (75.0%)
Episode 224/2000 => steps=1000, reward=19280.600, coverage=76/100 (76.0%)
Episode 225/2000 => steps=1000, reward=21845.020, coverage=83/100 (83.0%)
Episode 226/2000 => steps=573, reward=11826.040, coverage=68/100 (68.0%)
Episode 227/2000 => steps=939, reward=16972.930, coverage=82/100 (82.0%)
Episode 228/2000 => steps=642, reward=11500.130, coverage=66/100 (66.0%)
Episode 229/2000 => steps=624, reward=10562.970, coverage=77/100 (77.0%)
Episode 230/2000 => steps=1000, reward=18107.700, coverage=75/100 (75.0%)
Episode 231/2000 => steps=565, reward=10318.630, coverage=72/100 (72.0%)
Episode 232/2000 => steps=586, reward=11170.770, coverage=63/100 (63.0%)
Episode 233/2000 => steps=528, reward=9596.980, coverage=63/100 (63.0%)
Episode 234/2000 => steps=772, reward=15011.210, coverage=87/100 (87.0%)
Episode 235/2000 => steps=871, reward=15919.530, coverage=83/100 (83.0%)
Episode 236/2000 => steps=853, reward=15246.900, coverage=65/100 (65.0%)
Episode 237/2000 => steps=1000, reward=18929.340, coverage=78/100 (78.0%)
Episode 238/2000 => steps=1000, reward=21506.020, coverage=79/100 (79.0%)
Episode 239/2000 => steps=592, reward=12813.290, coverage=86/100 (86.0%)
Episode 240/2000 => steps=1000, reward=20086.290, coverage=76/100 (76.0%)
Episode 241/2000 => steps=971, reward=19019.530, coverage=80/100 (80.0%)
Episode 242/2000 => steps=1000, reward=19512.960, coverage=73/100 (73.0%)
Episode 243/2000 => steps=692, reward=13365.660, coverage=67/100 (67.0%)
Episode 244/2000 => steps=1000, reward=17904.370, coverage=92/100 (92.0%)
Episode 245/2000 => steps=1000, reward=18795.610, coverage=71/100 (71.0%)
Episode 246/2000 => steps=929, reward=19694.720, coverage=82/100 (82.0%)
Episode 247/2000 => steps=839, reward=16069.190, coverage=70/100 (70.0%)
Episode 248/2000 => steps=846, reward=19349.800, coverage=74/100 (74.0%)
Episode 249/2000 => steps=728, reward=14273.920, coverage=75/100 (75.0%)
Episode 250/2000 => steps=870, reward=15541.890, coverage=67/100 (67.0%)
Episode 251/2000 => steps=1000, reward=19467.630, coverage=74/100 (74.0%)
Episode 252/2000 => steps=1000, reward=20055.360, coverage=76/100 (76.0%)
Episode 253/2000 => steps=672, reward=14125.900, coverage=86/100 (86.0%)
Episode 254/2000 => steps=551, reward=9929.630, coverage=66/100 (66.0%)
Episode 255/2000 => steps=1000, reward=18802.460, coverage=73/100 (73.0%)
Episode 256/2000 => steps=1000, reward=19687.830, coverage=73/100 (73.0%)
